peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
Planning-Focused Products,Sales Experience,11,CoPlanner,,5.683928322,6.418315219,8,,2,
Planning-Focused Products,Sales Experience,11,Corporate Planning,,5.683928322,5.261065865,13,,2,
Planning-Focused Products,Sales Experience,11,IBM Plan. Analytics,,5.683928322,2.188794753,16,,2,
Planning-Focused Products,Sales Experience,11,Jedox,,5.683928322,7.046209347,6,,2,
Planning-Focused Products,Sales Experience,11,LucaNet,,5.683928322,7.98627852,5,,2,
Planning-Focused Products,Sales Experience,11,macs Software,,5.683928322,9.966179284,2,,2,
Planning-Focused Products,Sales Experience,11,OneStream,,5.683928322,6.089095381,10,,2,
Planning-Focused Products,Sales Experience,11,Oracle Cloud EPM,,5.683928322,2.740377152,15,,2,
Planning-Focused Products,Sales Experience,11,Planful,,5.683928322,8.538366317,4,,2,
Planning-Focused Products,Sales Experience,11,Prophix,,5.683928322,8.902978956,3,,2,
Planning-Focused Products,Sales Experience,11,SAP Analytics Cloud,,5.683928322,1,19,,2,
Planning-Focused Products,Sales Experience,11,SAP BPC,,5.683928322,1.066958185,18,,2,
Planning-Focused Products,Sales Experience,11,Serviceware Perf.,,5.683928322,6.107952993,9,,2,
Planning-Focused Products,Sales Experience,11,Unit4 FP&A,,5.683928322,1.45110686,17,,2,
Planning-Focused Products,Sales Experience,11,Valsight,,5.683928322,10,1,,2,
Planning-Focused Products,Sales Experience,11,Workday Adapt. Plan.,,5.683928322,6.079256627,11,,2,
Planning-Focused Products,Functionality,12,Anaplan,,6.027565362,4.104188606,18,,1,
Planning-Focused Products,Functionality,12,Board,,6.027565362,5.811486648,11,,1,
Planning-Focused Products,Functionality,12,CCH Tagetik,,6.027565362,7.79859142,3,,1,
Planning-Focused Products,Functionality,12,CoPlanner,,6.027565362,5.600466974,13,,1,
Planning-Focused Products,Functionality,12,Corporate Planning,,6.027565362,6.391518388,9,,1,
Planning-Focused Products,Functionality,12,IBM Plan. Analytics,,6.027565362,5.607151674,12,,1,
Planning-Focused Products,Functionality,12,Jedox,,6.027565362,6.733582049,6,,1,
Planning-Focused Products,Functionality,12,LucaNet,,6.027565362,6.85200903,5,,1,
Planning-Focused Products,Functionality,12,macs Software,,6.027565362,8.690111807,1,,1,
Planning-Focused Products,Functionality,12,OneStream,,6.027565362,8.048302947,2,,1,
Planning-Focused Products,Functionality,12,Oracle Cloud EPM,,6.027565362,6.56707677,7,,1,
Planning-Focused Products,Functionality,12,Planful,,6.027565362,6.444153665,8,,1,
Planning-Focused Products,Functionality,12,Prophix,,6.027565362,7.777550822,4,,1,
Planning-Focused Products,Functionality,12,SAP Analytics Cloud,,6.027565362,4.443726506,17,,1,
Planning-Focused Products,Functionality,12,SAP BPC,,6.027565362,2.183479422,19,,1,
Planning-Focused Products,Functionality,12,Serviceware Perf.,,6.027565362,4.862315506,16,,1,
Planning-Focused Products,Functionality,12,Unit4 FP&A,,6.027565362,5.068219467,15,,1,
Planning-Focused Products,Functionality,12,Valsight,,6.027565362,6.375287883,10,,1,
Planning-Focused Products,Functionality,12,Workday Adapt. Plan.,,6.027565362,5.164522289,14,,1,
Planning-Focused Products,Predefined Connectors,13,Anaplan,,5.147419314,1.172843906,18,,2,
Planning-Focused Products,Predefined Connectors,13,Board,,5.147419314,3.963867514,13,,2,
Planning-Focused Products,Predefined Connectors,13,CCH Tagetik,,5.147419314,5.188012295,10,,2,
Planning-Focused Products,Predefined Connectors,13,CoPlanner,,5.147419314,6.119225037,8,,2,
Planning-Focused Products,Predefined Connectors,13,Corporate Planning,,5.147419314,7.478562421,4,,2,
Planning-Focused Products,Predefined Connectors,13,IBM Plan. Analytics,,5.147419314,4.184421136,12,,2,
Planning-Focused Products,Predefined Connectors,13,Jedox,,5.147419314,7.192522991,6,,2,
Planning-Focused Products,Predefined Connectors,13,LucaNet,,5.147419314,8.037020357,3,,2,
Planning-Focused Products,Predefined Connectors,13,macs Software,,5.147419314,10,1,,2,
Planning-Focused Products,Predefined Connectors,13,OneStream,,5.147419314,1,19,,2,
Planning-Focused Products,Predefined Connectors,13,Oracle Cloud EPM,,5.147419314,4.431115239,11,,2,
Planning-Focused Products,Predefined Connectors,13,Planful,,5.147419314,3.304089353,14,,2,
Planning-Focused Products,Predefined Connectors,13,Prophix,,5.147419314,5.858853872,9,,2,
Planning-Focused Products,Predefined Connectors,13,SAP Analytics Cloud,,5.147419314,9.683401639,2,,2,
Planning-Focused Products,Predefined Connectors,13,SAP BPC,,5.147419314,7.375341044,5,,2,
Planning-Focused Products,Predefined Connectors,13,Serviceware Perf.,,5.147419314,1.90682118,16,,2,
Planning-Focused Products,Predefined Connectors,13,Unit4 FP&A,,5.147419314,6.87196156,7,,2,
Planning-Focused Products,Predefined Connectors,13,Valsight,,5.147419314,2.206404693,15,,2,
Planning-Focused Products,Predefined Connectors,13,Workday Adapt. Plan.,,5.147419314,1.826502732,17,,2,
Planning-Focused Products,Data Integration,14,Anaplan,,5.270461403,4.712774614,11,,2,
Planning-Focused Products,Data Integration,14,Board,,5.270461403,5.61716843,8,,2,
Planning-Focused Products,Data Integration,14,CCH Tagetik,,5.270461403,9.837672905,2,,2,
Planning-Focused Products,Data Integration,14,CoPlanner,,5.270461403,5.670368066,7,,2,
Planning-Focused Products,Data Integration,14,Corporate Planning,,5.270461403,6.463214258,6,,2,
Planning-Focused Products,Data Integration,14,IBM Plan. Analytics,,5.270461403,4.402696734,13,,2,
Planning-Focused Products,Data Integration,14,Jedox,,5.270461403,7.968592352,5,,2,
Planning-Focused Products,Data Integration,14,LucaNet,,5.270461403,8.425549227,3,,2,
Planning-Focused Products,Data Integration,14,macs Software,,5.270461403,10,1,,2,
Planning-Focused Products,Data Integration,14,OneStream,,5.270461403,8.213653902,4,,2,
Planning-Focused Products,Data Integration,14,Oracle Cloud EPM,,5.270461403,5.07453214,10,,2,
Planning-Focused Products,Data Integration,14,Planful,,5.270461403,4.411310008,12,,2,
Planning-Focused Products,Data Integration,14,Prophix,,5.270461403,5.100371963,9,,2,
Planning-Focused Products,Data Integration,14,SAP Analytics Cloud,,5.270461403,1.999593165,17,,2,
Planning-Focused Products,Data Integration,14,SAP BPC,,5.270461403,1,19,,2,
Planning-Focused Products,Data Integration,14,Serviceware Perf.,,5.270461403,2.093151146,16,,2,
Planning-Focused Products,Data Integration,14,Unit4 FP&A,,5.270461403,4.33854269,14,,2,
Planning-Focused Products,Data Integration,14,Valsight,,5.270461403,1.497152156,18,,2,
Planning-Focused Products,Data Integration,14,Workday Adapt. Plan.,,5.270461403,3.312422898,15,,2,
Planning-Focused Products,Planning Content,15,Anaplan,,5.533583343,2.656463248,14,,2,
Planning-Focused Products,Planning Content,15,Board,,5.533583343,1,19,,2,
Planning-Focused Products,Planning Content,15,CCH Tagetik,,5.533583343,5.807174888,10,,2,
Planning-Focused Products,Planning Content,15,CoPlanner,,5.533583343,8.058605227,7,,2,
Planning-Focused Products,Planning Content,15,Corporate Planning,,5.533583343,8.073787199,6,,2,
Planning-Focused Products,Planning Content,15,IBM Plan. Analytics,,5.533583343,2.040358744,16,,2,
Planning-Focused Products,Planning Content,15,Jedox,,5.533583343,5.285364859,11,,2,
Planning-Focused Products,Planning Content,15,LucaNet,,5.533583343,8.841127482,3,,2,
Planning-Focused Products,Planning Content,15,macs Software,,5.533583343,10,1,,2,
Planning-Focused Products,Planning Content,15,OneStream,,5.533583343,9.76716109,2,,2,
Planning-Focused Products,Planning Content,15,Oracle Cloud EPM,,5.533583343,7.457399103,8,,2,
Planning-Focused Products,Planning Content,15,Planful,,5.533583343,5.957616086,9,,2,
Planning-Focused Products,Planning Content,15,Prophix,,5.533583343,8.276992066,5,,2,
Planning-Focused Products,Planning Content,15,SAP Analytics Cloud,,5.533583343,2.937219731,13,,2,
Planning-Focused Products,Planning Content,15,SAP BPC,,5.533583343,1.80281178,17,,2,
Planning-Focused Products,Planning Content,15,Serviceware Perf.,,5.533583343,4.955156951,12,,2,
Planning-Focused Products,Planning Content,15,Unit4 FP&A,,5.533583343,1.092248559,18,,2,
Planning-Focused Products,Planning Content,15,Valsight,,5.533583343,8.472133248,4,,2,
Planning-Focused Products,Planning Content,15,Workday Adapt. Plan.,,5.533583343,2.656463248,14,,2,
Planning-Focused Products,Planning Functionality,16,Anaplan,,7.474999647,7.889655172,12,,2,
Planning-Focused Products,Planning Functionality,16,Board,,7.474999647,8.485517241,8,,2,
Planning-Focused Products,Planning Functionality,16,CCH Tagetik,,7.474999647,9.068965517,5,,2,
Planning-Focused Products,Planning Functionality,16,CoPlanner,,7.474999647,6.202839757,16,,2,
Planning-Focused Products,Planning Functionality,16,Corporate Planning,,7.474999647,7.284482759,14,,2,
Planning-Focused Products,Planning Functionality,16,IBM Plan. Analytics,,7.474999647,9.534482759,4,,2,
Planning-Focused Products,Planning Functionality,16,Jedox,,7.474999647,8.98957498,6,,2,
Planning-Focused Products,Planning Functionality,16,LucaNet,,7.474999647,4.325123153,17,,2,
Planning-Focused Products,Planning Functionality,16,macs Software,,7.474999647,9.809018568,2,,2,
Planning-Focused Products,Planning Functionality,16,OneStream,,7.474999647,6.772413793,15,,2,
Planning-Focused Products,Planning Functionality,16,Oracle Cloud EPM,,7.474999647,8.262068966,11,,2,
Planning-Focused Products,Planning Functionality,16,Planful,,7.474999647,8.949602122,7,,2,
Planning-Focused Products,Planning Functionality,16,Prophix,,7.474999647,9.571938169,3,,2,
Planning-Focused Products,Planning Functionality,16,SAP Analytics Cloud,,7.474999647,1,19,,2,
Planning-Focused Products,Planning Functionality,16,SAP BPC,,7.474999647,1.837931034,18,,2,
Planning-Focused Products,Planning Functionality,16,Serviceware Perf.,,7.474999647,8.262068966,9,,2,
Planning-Focused Products,Planning Functionality,16,Unit4 FP&A,,7.474999647,7.517241379,13,,2,
Planning-Focused Products,Planning Functionality,16,Valsight,,7.474999647,10,1,,2,
Planning-Focused Products,Planning Functionality,16,Workday Adapt. Plan.,,7.474999647,8.262068966,9,,2,
Planning-Focused Products,Workflow,17,Anaplan,,4.70685407,1.228146853,18,,2,
Planning-Focused Products,Workflow,17,Board,,4.70685407,4.692795577,9,,2,
Planning-Focused Products,Workflow,17,CCH Tagetik,,4.70685407,9.857466063,2,,2,
Planning-Focused Products,Workflow,17,CoPlanner,,4.70685407,3.54763986,13,,2,
